#Code,Name,Lat,Lon,Date Interval
ABN_hr,ABINGER,51.19,-0.39,1926-01-01 - 1956-12-31
ABK_hr,ABISKO,68.36,18.82,1968-01-01 - 2007-12-31
AAE_hr,ADDIS ABABA,9.03,38.77,1958-01-01 - 2007-12-31
AGN_hr,AGINCOURT,43.78,-79.27,1932-01-01 - 1969-03-31
ALE_hr,ALERT,82.5,-62.5,1963-01-01 - 2004-12-31
ABG_hr,ALIBAG,18.64,72.87,1925-01-01 - 2007-12-31
ASP_hr,ALICE SPRINGS,-23.33,134,1993-01-01 - 2007-12-31
AAA_hr,ALMA ATA,43.25,76.92,1963-05-01 - 2007-12-31
ALM_hr,ALMERIA,36.85,-2.46,1964-01-01 - 1966-03-31
AMT_hr,AMATSIA,31.55,34.92,1979-11-01 - 2000-12-31
AML_hr,AMBERLEY,-43.15,172.72,1959-09-01 - 1977-09-30
AMU_hr,ANCHORAGE,61.24,-149.87,1957-07-01 - 1958-12-31
ANN_hr,ANNAMALAINAGAR,11.37,79.68,1964-01-01 - 1993-12-31
API_hr,APIA,-13.81,-171.77,1957-07-01 - 2007-07-31
ARC_hr,ARCTOWSKI,-62.16,1.65,1992-01-01 - 1995-12-31
AIA_hr,ARGENTINE ISLAND,-65.25,-64.26,1957-03-01 - 2007-12-31
ARK_hr,ARKHANGELSK,64.6,40.5,1985-01-01 - 1988-12-31
ARS_hr,ARTI,56.43,58.57,1973-01-01 - 1990-12-31
ASC_hr,ASCENSION ISLAND,-7.949,-14.376,1994-01-01 - 2007-12-31
ASH_hr,ASHKHABAD,37.95,58.11,1959-01-01 - 1990-11-30
BAG_hr,BAGUIO,16.42,120.6,1966-03-01 - 1969-10-31
BLC_hr,BAKER LAKE,64.33,-96.03,1951-01-01 - 2007-12-31
BNG_hr,BANGUI,4.44,18.57,1961-07-01 - 2007-12-31
BGY_hr,BAR GYORA,0,0,2004-01-01 - 2004-12-31
BRW_hr,BARROW (BRW),71.3,-156.75,1964-09-01 - 2007-12-31
BSL_hr,BAY ST LOUIS,30.4,-89.4,1986-04-01 - 2007-12-31
BJN_hr,BEAR ISLAND,74.5,19.2,1987-01-01 - 2004-10-31
BJI_hr,BEIJING,40.04,116.18,1979-09-01 - 1980-12-31
BMT_hr,BEIJING MING TOMBS,40.3,116.2,1996-01-01 - 2007-12-31
BLT_hr,BELOIT,39.48,-98.13,1957-07-01 - 1958-12-31
BEL_hr,BELSK,51.84,20.79,1966-01-01 - 2007-12-31
BDE_hr,BIG DELTA,64,-145.73,1957-07-01 - 1959-01-31
BOX_hr,BOROK,58.03,38.97,1980-01-01 - 2007-12-31
BOU_hr,BOULDER,40.14,-105.24,1967-01-01 - 2007-12-31
BFE_hr,BRORFELDE,55.63,11.67,1981-01-01 - 2007-12-31
BDV_hr,BUDKOV,49.08,14.02,1994-01-01 - 2007-12-31
BRT_hr,BURLINGTON,39.38,-102.27,1957-06-01 - 1959-02-28
BYR_hr,BYRD STATION,-79.98,-120,1957-08-01 - 1968-06-30
BFO_hr,Black Forest,0,0,2006-01-01 - 2007-12-31
CBB_hr,CAMBRIDGE BAY (CBB),69.2,-105,1973-01-01 - 2007-12-31
CNB_hr,CANBERRA,-35.32,149.36,1979-09-01 - 2007-12-31
CCS_hr,CAPE CHELYUSKIN (CCS),77.72,104.28,1957-01-01 - 1990-12-31
CTO_hr,CAPE TOWN,-33.95,18.47,1932-08-01 - 1940-12-31
CWE_hr,CAPE WELLEN,66.16,-169.83,1957-01-01 - 1990-12-31
CAX_hr,CARROLLTON,39.37,-93.53,1958-01-01 - 1959-02-28
CSY_hr,CASEY,-66.28,110.53,1989-01-01 - 2004-12-31
CAO_hr,CASTELLACCIO,44.43,8.93,1957-07-01 - 1959-12-31
CPA_hr,CHA PA,22.35,103.83,1965-01-01 - 1965-12-31
CLF_hr,CHAMBON-LA-FORET,48.02,2.26,1936-01-01 - 2007-12-31
CNH_hr,CHANGCHUN,44.05,125.21,1979-09-01 - 1980-12-31
ARE_hr,CHARACATO,-16.47,-71.48,1964-01-01 - 1964-12-31
CTX_hr,CHARCOT,-69.37,139.03,1957-05-01 - 1958-12-31
CTA_hr,CHARTERS TOWERS,-20.1,146.3,1990-01-01 - 2007-12-31
CLH_hr,CHELTENHAM,38.73,-76.84,1906-01-01 - 1956-10-31
CBI_hr,CHICHIJIMA,27.08,142.17,1992-01-01 - 2004-12-31
COI_hr,COIMBRA,40.21,-8.42,1964-01-01 - 1995-12-31
CMO_hr,COLLEGE (CMO),64.85,-147.83,1948-01-01 - 2007-12-31
DAL_hr,DALLAS,32.99,-96.75,1964-01-01 - 1974-12-31
DAV_hr,DAVAO,7.05,125.38,1980-09-01 - 1984-12-31
DVS_hr,DAVIS,-68.58,77.97,1989-01-01 - 2000-12-31
DLR_hr,DEL RIO,29.49,-100.92,1982-08-01 - 2007-12-31
DIK_hr,DIXON ISLAND,73.54,80.56,1957-01-01 - 1995-12-31
DOB_hr,DOMBAS,62.08,9.1,1964-01-01 - 2004-12-31
DOU_hr,DOURBES,50.1,4.6,1960-01-01 - 2007-12-31
