#Code,Name,Lat,Lon,Date Interval
ABK_min,ABISKO,68.36,18.82,1976-01-01 - 2008-12-31
AAE_min,ADDIS ABABA,9.03,38.77,1997-09-01 - 2012-12-31
LYR_min,ADVENTDALEN,78.201,15.82,1997-01-01 - 1997-01-31
ALE_min,ALERT,82.5,-62.5,1986-01-01 - 2004-12-31
ABG_min,ALIBAG,18.64,72.87,1993-07-01 - 2011-12-31
ASP_min,ALICE SPRINGS,-23.33,134,1993-01-01 - 2012-12-31
AAA_min,ALMA ATA,43.25,76.92,2005-01-01 - 2012-12-31
AMD_min,AMDERMA,69.47,61.42,1984-04-01 - 1998-12-31
AMU_min,ANCHORAGE,61.24,-149.87,1990-01-01 - 2001-12-31
ANC_min,ANCON,11.74,-76.9,2002-01-01 - 2002-04-30
AND_min,AND,69.301,16.03,1997-01-01 - 1997-01-31
API_min,APIA,-13.81,-171.77,1992-01-01 - 2011-12-31
AVI_min,ARCTIC VILLAGE,68.13,-145.57,1979-03-01 - 1993-12-31
ARC_min,ARCTOWSKI,-62.16,1.65,1992-01-01 - 1995-12-31
AIA_min,ARGENTINE ISLAND,-65.25,-64.26,1996-01-01 - 2009-02-28
ARS_min,ARTI,56.43,58.57,1990-01-01 - 1996-03-31
ASC_min,ASCENSION ISLAND,-7.949,-14.376,1994-01-01 - 2012-12-31
ASH_min,ASHKHABAD,37.95,58.11,1990-01-01 - 1990-12-31
BLC_min,BAKER LAKE,64.33,-96.03,1979-01-01 - 2012-12-31
BAL_min,BALDWIN,38.78,-95.17,2002-01-01 - 2002-04-30
BNG_min,BANGUI,4.44,18.57,1990-01-01 - 2007-12-31
BGY_min,BAR GYORA,0,0,2004-01-01 - 2007-12-31
BAR_min,BARROW (BAR),71.3,-156.75,2002-01-01 - 2002-04-30
BRW_min,BARROW (BRW),71.3,-156.75,1975-05-01 - 2011-06-30
BSL_min,BAY ST LOUIS,30.4,-89.4,1986-01-01 - 2011-12-31
BJN_min,BEAR ISLAND,74.5,19.2,1987-01-01 - 2006-12-31
BMT_min,BEIJING MING TOMBS,40.3,116.2,1996-01-01 - 2011-12-31
BEY_min,BELIY ISLAND,73.3,70,1988-01-01 - 1989-12-31
BEL_min,BELSK,51.84,20.79,1984-01-01 - 2012-12-31
BOX_min,BOROK,58.03,38.97,1990-01-01 - 2012-12-31
BOU_min,BOULDER,40.14,-105.24,1978-03-01 - 2012-12-31
BFE_min,BRORFELDE,55.63,11.67,1982-01-01 - 2008-12-31
BDV_min,BUDKOV,49.08,14.02,1994-01-01 - 2012-12-31
BFO_min,Black Forest,0,0,2006-01-01 - 2007-12-31
CAB_min,CAMBRIDGE BAY (CAB),69.1,-105,2002-01-01 - 2002-04-30
CBB_min,CAMBRIDGE BAY (CBB),69.2,-105,1976-01-01 - 2012-12-31
CNB_min,CANBERRA,-35.32,149.36,1991-01-01 - 2012-12-31
CCS_min,CAPE CHELYUSKIN (CCS),77.72,104.28,1976-01-01 - 2003-12-31
CKA_min,CAPE KAMENNIY,68.5,73.6,1988-07-01 - 1998-05-31
CPY_min,CAPE PARRY,70.17,-124.72,1979-03-01 - 1998-09-30
CPS_min,CAPE SCHMIDT,68.92,-179.48,1984-12-01 - 2000-04-30
CWE_min,CAPE WELLEN,66.16,-169.83,1990-01-01 - 1990-12-31
CSY_min,CASEY,-66.28,110.53,1989-01-01 - 2012-12-31
CLF_min,CHAMBON-LA-FORET,48.02,2.26,1980-01-01 - 2012-12-31
CTA_min,CHARTERS TOWERS,-20.1,146.3,1993-01-01 - 2012-12-31
CBI_min,CHICHIJIMA,27.08,142.17,1991-01-01 - 2006-12-31
CMO_min,COLLEGE (CMO),64.85,-147.83,1976-01-01 - 2011-12-31
COL_min,COLLEGE (COL),64.87,-147.83,2002-01-01 - 2002-04-30
COW_min,CONTWOYTO LAKE,65.73,-111.25,1996-09-01 - 1996-09-30
DRW_min,DARWIN,-12.399,130.9,1997-01-01 - 1997-05-31
DVS_min,DAVIS,-68.58,77.97,1988-02-01 - 2000-12-31
DAW_min,DAWSON CITY (DAW),64.051,-139.11,1996-09-01 - 1996-09-30
DLR_min,DEL RIO,29.49,-100.92,1982-08-01 - 2008-12-31
DIK_min,DIXON ISLAND,73.54,80.56,1976-01-01 - 2003-12-31
DJB_min,DJB,11.701,43.3,1997-01-01 - 1997-01-31
DLB_min,DLB,-27.179,151.2,1996-09-01 - 1997-05-31
DNB_min,DNB,52.101,5.18,1990-08-01 - 1991-12-31
DOB_min,DOMBAS,62.08,9.1,1999-01-01 - 2007-12-31
DOU_min,DOURBES,50.1,4.6,1995-01-01 - 2009-02-28
DRV_min,DUMONT DURVILLE,-66.67,140.01,1969-01-01 - 2008-12-31
EBR_min,EBRO,40.82,0.49,2000-01-01 - 2012-12-31
ELT_min,EILAT,0,0,2002-01-01 - 2007-12-31
ESA_min,ESA,0,0,2005-01-01 - 2007-12-31
ESK_min,ESKDALEMUIR,55.32,-3.2,1983-01-01 - 2012-12-31
EKP_min,ESKIMO POINT,61.1,-94.07,1979-03-01 - 1996-09-30
EYR_min,EYREWELL,-43.42,172.35,1990-07-01 - 2012-12-31
FOC_min,FOC,58.76,-94.08,2002-01-01 - 2002-04-30
FCH_min,FORT CHURCHILL (FCH),58.761,-94.08,1996-09-01 - 1996-09-30
FCC_min,FORT CHURCHILL (FOC),58.77,-94.1,1976-01-01 - 2012-12-31
FMM_min,FORT MCMURRAY,56.73,-111.38,1996-09-01 - 1996-09-30
FSP_min,FORT SIMPSON,61.75,-121.23,1990-01-01 - 2003-08-31
FSM_min,FORT SMITH,60,-112,1979-03-01 - 1996-09-30
FOY_min,FORT YUKON (FOY),66.57,-145.3,2002-01-01 - 2002-06-30
FYU_min,FORT YUKON (FYU),66.57,-145.27,1979-03-01 - 2004-08-31
FRD_min,FREDERICKSBURG (FRD),38.21,-77.37,1984-01-01 - 2011-12-31
FRE_min,FREDERICKSBURG (FRE),38.21,-77.37,2002-01-01 - 2002-04-30
FRN_min,FRESNO,37.09,-119.72,1983-01-01 - 2012-12-31
FUR_min,FURSTENFELDBRUCK,48.17,11.28,1990-01-01 - 2011-12-31
GIM_min,GILLAM,56.85,-94.42,1979-03-01 - 1996-09-30
GLE_min,GLENLEA (GLE),49.6,-97.1,2002-01-01 - 2002-04-30
GLL_min,GLENLEA (GLL),49.6,-97.1,1982-01-01 - 1996-06-30
GLN_min,GLENLEA (GLN),49.6,-97.1,1982-01-01 - 1997-03-31
GNA_min,GNANGARA,-31.78,115.95,1992-01-01 - 2012-12-31
GDH_min,GODHAVN,69.24,-53.52,1976-01-01 - 2009-02-28
GCK_min,GROCKA,44.63,20.77,2005-01-01 - 2012-12-31
GUA_min,GUAM,13.58,144.87,1983-01-01 - 2010-12-31
GZH_min,GUANGZHOU,23.09,113.34,2003-01-01 - 2009-02-28
GUI_min,GUIMAR,28.321,-16.441,1997-01-01 - 2010-12-31
HAN_min,HANKASALMI,62.301,26.65,1996-09-01 - 1997-05-31
HBK_min,HARTEBEESTHOEK,-25.88,27.71,1972-11-01 - 2009-01-31
HAD_min,HARTLAND,51,-4.48,1983-01-01 - 2012-12-31
HTY_min,HATIZYO I,33.13,139.8,1986-01-01 - 2004-12-31
HIS_min,HEISS ISLAND,80.62,58.05,1997-01-01 - 1998-12-31
HLP_min,HEL,54.61,18.82,1995-01-01 - 2012-12-31
HER_min,HERMANUS,-34.43,19.23,1974-01-01 - 2008-12-31
HON_min,HONOLULU,21.32,-158.06,1979-03-01 - 2010-12-31
HRN_min,HORNSUND,77,15.55,1993-01-01 - 2009-01-31
HUA_min,HUANCAYO,-12.05,-75.34,1997-08-01 - 2012-12-31
HRB_min,HURBANOVO,47.87,18.19,1997-01-01 - 2009-01-31
INK_min,INUVIK,68.25,-133.3,1979-03-01 - 1994-06-30
IQA_min,IQALUIT,63.753,-68.518,1995-01-01 - 2012-12-31
IRT_min,IRKUTSK,52.46,104.04,1996-04-01 - 2009-01-31
ISL_min,ISLAND LAKE,53.88,-94.68,1979-03-01 - 1996-09-30
